Profanity,Canonical Form 1,Canonical Form 2,Canonical Form 3,Severity Rating
ass muncher,ass,,,2.2
assfker,ass,fuck,,2.2
assfkr,ass,fuck,,2.2
assfk,ass,fuck,,2.2
assfuccer,ass,fuck,,2.2
arse-bandits,arse,,,2.2
anal hole,anal,,,2.2
analplug,anal,,,2.2
anal pirate,anal,,,2.2
trashbitch,bitch,trash,,2
twat waffle,twat,,,2
wh0re,whore,,,2
twatzilla,twat,,,2
wh0r3,whore,,,2
wang wrangler,wang,,,2
whoars,whore,,,2
whores,whore,,,2
shittydick,shit,dick,,2
shitfreak,shit,,,2
shittydicks,shit,dick,,2
slut,slut,,,2
shiddick,shit,dick,,2
salad tosser,salad tosser,,,2
shitdicks,shit,dick,,2
shitbag,shit,,,2
shitedick,shit,dick,,2
shitasses,shit,ass,,2
shitd1ck,shit,dick,,2
shitdikk,shit,dick,,2
shit licker,shit,,,2
shitbrain,shit,,,2
shitass,shit,ass,,2
shitface,shit,,,2
sheister,shit,,,2
sh1theads,shit,,,2
sh1td1ck,shit,dick,,2
shit-ass,shit,ass,,2
shiester,shiester,,,2
rim job,rim job,,,2
sh1th3ad,shit,,,2
phuckin,fuck,,,2
pussie,pussy,,,2
pussless,pussy,,,2
pussys,pussy,,,2
phucks,fuck,,,2
phucked,fuck,,,2
phuc,fuck,,,2
phukeds,fuck,,,2
phucc,fuck,,,2
pole smoker,pole smoker,,,2
phuk,fuck,,,2
phukkeds,fuck,,,2
phucchead,fuck,,,2
phukked,fuck,,,2
pedoz,pedophile,,,2
oven dodger,oven dodger,,,2
pedobear,pedophile,,,2
nobjokey,knob,,,2
pack my fudge,fudge packer,,,2
nip,nipple,,,2
muffdiving,muff,,,2
negro,negro,,,2
mofoes,motherfucker,,,2
mofo,motherfucker,,,2
mofucker,motherfucker,,,2
markasses,ass,,,2
m0f0,motherfucker,,,2
mofos,motherfucker,,,2
meat curtains,meat curtains,,,2
jizzed,jizz,,,2
knob-head,knob,,,2
l@dyboy,ladyboy,,,2
l@dyb0y,ladyboy,,,2
hoebag,hoe,,,2
hoe,hoe,,,2
hoes,hoe,,,2
gyp,gypsy,,,2
jackoff,jack off,,,2
holy fuck,fuck,,,2
fvcka,fuck,,,2
fxcked,fuck,,,2
gay wad,gay,,,2
gin jockey,gin jockey,,,2
groid,groid,,,2
godamnit,damn,,,2
fvcking,fuck,,,2
gash-stabber,gash-stabber,,,2
fuck,fuck,,,2
fucking hell,fuck,hell,,2
fukking,fuck,,,2
fuking,fuck,,,2
fukheads,fuck,,,2
fugger,fuck,,,2
fux0r,fuck,,,2
fukkings,fuck,,,2
fuggings,fuck,,,2
fuckup,fuck,,,2
fuckless,fuck,,,2
fukk,fuck,,,2
fuk1n,fuck,,,2
fukked,fuck,,,2
fukker,fuck,,,2
fucks,fuck,,,2
fukcs,fuck,,,2
